i	3
NodeId:0	0.790649377994,0.746113873626,1,15,66,96
NodeId:1	1.30904955632,1.37236771978,37,72
NodeId:10	0.961632481737,0.921589149443,4,6,38,67,78,80
NodeId:11	0.652269247544,0.691965163311,6,28,40,49,51,67,89
NodeId:12	1.05300974713,1.17436326013,24,28,50,55,67,85,98
NodeId:13	0.937903035578,1.06639950397,25,32,33,35,76
NodeId:14	0.348360017132,0.326233333333,36,39,44,62,98
NodeId:15	1.27071795662,1.27053351648,47,70,79,95,97
NodeId:16	0.651260205631,0.659030017007,45,52,67,80
NodeId:17	0.586940535149,0.575264976343,18,39,41,53,63,72,79,99
NodeId:18	1.10280394894,1.17207256072,52,61,62,87
NodeId:19	0.918508202067,0.981292920373,27,33,37,45,92
NodeId:2	1.05131009159,1.0298592122,31,63
NodeId:20	1.21268510849,1.20518305289,7,94
NodeId:21	2.27024876135,2.29825694445
NodeId:22	1.1130176656,1.13352416928,25,65,72,83,97
NodeId:23	0.580674900177,0.555928968254,92,99
NodeId:24	1.07967374004,1.10462344649,9,10,18,38,55,93,94
NodeId:25	0.881082185177,0.844039455783,63
NodeId:26	0.871314983105,0.863919220594,15,23,28,64
NodeId:27	1.44226941408,1.4371791356,32,68,70,92
NodeId:28	0.94787081993,0.936719210602,21,25,72
NodeId:29	0.919648887961,0.849493404686,18,23,31,36,86
NodeId:3	0.79679745723,0.800881745486,30,42,45,86
NodeId:30	0.928359103307,0.950406234103,80,84,95
NodeId:31	2.2163380774,2.39057165061,29,36,46,49,54,62,70,85
NodeId:32	1.03743880578,1.04032995232,2,3,6,27,47,69,71,91
NodeId:33	1.07102663053,1.0395647534,2,56,58,86
NodeId:34	0.999229765424,1.08875669643,0,7,77,78
NodeId:35	0.535219831103,0.549649858277,12,18,62,64,65,66,83,91
NodeId:36	0.786041631559,0.824362847223,12,20,30,34,61,75,77,99
NodeId:37	1.41326193282,1.29913348024,40,59,71,97
NodeId:38	1.20655784623,1.27965790435,30,41,98
NodeId:39	1.20568258349,1.21879332483,31,43,68,71,92
NodeId:4	0.79836873341,0.71228207036,24,42,46,86
NodeId:40	0.733205150934,0.771126556232,7,71,72,73
NodeId:41	1.00388651286,1.08321298731,44,45,49,66
NodeId:42	0.592114441113,0.557175140087,36,45,70,89,99
NodeId:43	0.96350480475,0.955706371011,4,21,24,56,67,68,80,86,90
NodeId:44	0.662014900592,0.676984237639,17,37,38
NodeId:45	1.52864647393,1.46759494175,18,53,58,83,86,90
NodeId:46	0.854904873789,0.852651330563,78
NodeId:47	0.53505351787,0.554436343865,5,14,52,70,73
NodeId:48	0.15,0.15,18,39,61,79,89
NodeId:49	1.24884041185,1.17100509387,2,29,31,39,84
NodeId:5	0.516047587528,0.535107665599,2,9,24,50,61,81,98
NodeId:50	0.868980444086,0.842256779828,0,20,46,68
NodeId:51	0.967390254569,0.950083641582,38,45,61,71
NodeId:52	0.896471025642,0.860301488094,27,31,64,91
NodeId:53	0.62581521283,0.609737847222,2,13,65,78,95
NodeId:54	0.734959457764,0.706119899322,12,69,77
NodeId:55	0.730237700662,0.75510551849,10,19,22,25,51,58,62
NodeId:56	0.565274506035,0.51441220238,29,36,80,96,98
NodeId:57	0.846034306763,0.875052974556,86,94,96,98
NodeId:58	0.892221374886,0.936863768424,16,38,71,73,78
NodeId:59	0.507621423445,0.53470673077,10,24,69,92
NodeId:6	0.727022840314,0.729573057846,15,22,58,80
NodeId:60	0.544873293856,0.612387286326,14,49,53,56,65
NodeId:61	0.7790241049,0.817087997939,6,9,18,20,99
NodeId:62	1.08984372562,1.06850269983,11,22,33,91
NodeId:63	1.77832930246,1.87466809753,3,64,65,72
NodeId:64	1.06163570188,1.13560941588,3,27,28,31,33,39,78
NodeId:65	1.05393658054,1.0664859375,27,88
NodeId:66	1.08987925499,1.12252804487,8,19,72,81,83,98
NodeId:67	0.73748909299,0.702251842404,2,26,30,31,32,45
NodeId:68	0.931836154512,0.930588392858,1,6,19,28,40,81,85
NodeId:69	0.914101745056,0.992905778498,12,22,42,46,55,72,88
NodeId:7	1.05742798867,1.01303411172,12,21,38,57,93
NodeId:70	1.29678423309,1.24784447115,20,63,99
NodeId:71	1.5440322187,1.61949672238,15,16,45,84,97
NodeId:72	2.09430437029,2.04538087879,10,49,51,92,93,95
NodeId:73	0.567385412289,0.571980242675,41,50,51,84,92
NodeId:74	0.45653388052,0.48442232906,35,54,84
NodeId:75	0.449058815946,0.439613467262,29,34,37,51,54,65,85,91
NodeId:76	0.966139374962,0.870233333333,9
NodeId:77	0.669016655316,0.664315352182,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:78	1.72908105774,1.62947872732,13,19,34,82
NodeId:79	1.03416086458,1.0992530029,0,26,43,74,90
NodeId:8	0.367552568991,0.383790865385,13,41,59,87
NodeId:80	1.23059627985,1.26614649235,31,79
NodeId:81	0.631511977981,0.646520909646,5,21,26,78,93,96
NodeId:82	0.679200699881,0.724787202381,2,23,24,32,52,53
NodeId:83	1.35611969759,1.50228876679,1,4,10,18,27,29,70
NodeId:84	1.12815670958,1.10080257937,9,21
NodeId:85	0.749744444719,0.728589096296,32,54,57,64,69,90,99
NodeId:86	1.36442390133,1.29511728861,11,60,71,95
NodeId:87	0.524056981844,0.550849530677,8,19,20,27,30,47,54,63
NodeId:88	1.35867511297,1.29131626112,21,26,44,50,55,82
NodeId:89	0.585472835169,0.549120535715,16,32,35,38,40,57,58
NodeId:9	1.69555459568,1.71266665795,33,39,41,43,51,69,80
NodeId:90	0.968643318777,0.943702131846,1,26,52,93,96
NodeId:91	0.775515175706,0.850057606457,12,24,66,81,95
NodeId:92	1.70307609529,1.73490848214,22,34,39,57
NodeId:93	0.998130761842,0.995154180841,15,43,66,75
NodeId:94	1.11905134472,1.15354510346,4,17,20,90
NodeId:95	1.44841240625,1.4937681395,76,88
NodeId:96	0.833967854257,0.844664964896,12,13,24,31,60,74
NodeId:97	1.11007011393,1.08813515339,37,50,62,89
NodeId:98	1.2080316565,1.28721828776,5,13,15,28,49,66,92,94
NodeId:99	1.21063246784,1.28152987719,1,83
NodeId:i	2
