i	7
NodeId:0	0.7580729858872163,0.7608059291449077,1,15,66,96
NodeId:1	1.2608584726040286,1.2661540689667414,37,72
NodeId:10	0.9142501831296977,0.9194936073283332,4,6,38,67,78,80
NodeId:11	0.6647018438893967,0.6671750706380263,6,28,40,49,51,67,89
NodeId:12	1.0206192066596795,1.0258553699933648,24,28,50,55,67,85,98
NodeId:13	0.929028905413242,0.9333741825762126,25,32,33,35,76
NodeId:14	0.33479050530570353,0.3361857701924721,36,39,44,62,98
NodeId:15	1.2432800043122296,1.2504739642987137,47,70,79,95,97
NodeId:16	0.6389835381840202,0.642096684216627,45,52,67,80
NodeId:17	0.5641513823276888,0.5662899646441785,18,39,41,53,63,72,79,99
NodeId:18	1.0664430699579186,1.0714725203676836,52,61,62,87
NodeId:19	0.905428274143279,0.9099526977011648,27,33,37,45,92
NodeId:2	1.0407297858958096,1.045203093052304,31,63
NodeId:20	1.1796875344245783,1.1874826478145977,7,94
NodeId:21	2.256986799503546,2.2631316227890186
NodeId:22	1.073476452263534,1.0799522557579309,25,65,72,83,97
NodeId:23	0.5822560511165485,0.584678211884394,92,99
NodeId:24	1.0434372066934032,1.0486020698273717,9,10,18,38,55,93,94
NodeId:25	0.8337391473816914,0.8373726788244668,63
NodeId:26	0.8557531432014339,0.857868924966693,15,23,28,64
NodeId:27	1.3682539000694454,1.3769767640268626,32,68,70,92
NodeId:28	0.8990560319682902,0.9046674057087699,21,25,72
NodeId:29	0.8870146425833442,0.8902142814533408,18,23,31,36,86
NodeId:3	0.762203925908071,0.769226407309127,30,42,45,86
NodeId:30	0.8908992641071466,0.8953615901692452,80,84,95
NodeId:31	2.196591545031808,2.2092015469868365,29,36,46,49,54,62,70,85
NodeId:32	1.0023698728112902,1.0049148122654663,2,3,6,27,47,69,71,91
NodeId:33	1.0219830321291945,1.0270740268787475,2,56,58,86
NodeId:34	0.9939461938746798,0.9990788721653493,0,7,77,78
NodeId:35	0.5060277263561964,0.507571207490045,12,18,62,64,65,66,83,91
NodeId:36	0.7882546454696949,0.7902380462939297,12,20,30,34,61,75,77,99
NodeId:37	1.3500728051841495,1.356896122609553,40,59,71,97
NodeId:38	1.19187169974286,1.1979235824923617,30,41,98
NodeId:39	1.1840918880378921,1.188660583257127,31,43,68,71,92
NodeId:4	0.7604371038393646,0.7655417036053996,24,42,46,86
NodeId:40	0.7453462534648417,0.7492323094944414,7,71,72,73
NodeId:41	0.9695785574244465,0.9741505395288165,44,45,49,66
NodeId:42	0.586203015168611,0.5894682702521051,36,45,70,89,99
NodeId:43	0.9436746211872734,0.9476190542336737,4,21,24,56,67,68,80,86,90
NodeId:44	0.6423021668538896,0.6444593494149874,17,37,38
NodeId:45	1.4811905011898556,1.4897171937490694,18,53,58,83,86,90
NodeId:46	0.8384454838913998,0.843248446721044,78
NodeId:47	0.5220955950147271,0.5250906859541226,5,14,52,70,73
NodeId:48	0.15000000000000002,0.15000000000000002,18,39,61,79,89
NodeId:49	1.1742449604089038,1.1825717220686403,2,29,31,39,84
NodeId:5	0.48964867223119135,0.4920736191101952,2,9,24,50,61,81,98
NodeId:50	0.8490086964008033,0.851649016040598,0,20,46,68
NodeId:51	0.9495940149846939,0.9540740782905034,38,45,61,71
NodeId:52	0.8627578887432469,0.8649446001519873,27,31,64,91
NodeId:53	0.6153591432654567,0.6174796127093357,2,13,65,78,95
NodeId:54	0.6968427033244778,0.7007092084297587,12,69,77
NodeId:55	0.6978285992889132,0.701245351449194,10,19,22,25,51,58,62
NodeId:56	0.5532756745273059,0.5578198022335151,29,36,80,96,98
NodeId:57	0.8384072013449956,0.843100269584668,86,94,96,98
NodeId:58	0.8878620539668242,0.8917479036856947,16,38,71,73,78
NodeId:59	0.5131097184426779,0.5151263945442869,10,24,69,92
NodeId:6	0.7077005107280571,0.7121959086561797,15,22,58,80
NodeId:60	0.5601303578668629,0.5619122864323695,14,49,53,56,65
NodeId:61	0.749643241239833,0.753010496678144,6,9,18,20,99
NodeId:62	1.0437413461305165,1.0477681545868256,11,22,33,91
NodeId:63	1.7713293752932975,1.7820530110058175,3,64,65,72
NodeId:64	1.0355075519852641,1.0437861598387093,3,27,28,31,33,39,78
NodeId:65	1.014001043366445,1.0220638656287124,27,88
NodeId:66	1.036040173855846,1.040999429210391,8,19,72,81,83,98
NodeId:67	0.7117867626805708,0.7152095728116562,2,26,30,31,32,45
NodeId:68	0.9151526325401161,0.9193949668047622,1,6,19,28,40,81,85
NodeId:69	0.9030642649832937,0.9064159308175502,12,22,42,46,55,72,88
NodeId:7	1.0261962514239094,1.0310144164734547,12,21,38,57,93
NodeId:70	1.2385144108945725,1.243906421368545,20,63,99
NodeId:71	1.5527857860820125,1.5606687779626687,15,16,45,84,97
NodeId:72	1.98363594449436,1.998923040139633,10,49,51,92,93,95
NodeId:73	0.5500744260063378,0.5513518543059662,41,50,51,84,92
NodeId:74	0.4405943644821585,0.4421696929921478,35,54,84
NodeId:75	0.4438287294310893,0.4451466484607397,29,34,37,51,54,65,85,91
NodeId:76	0.9174103534698667,0.9234549343316943,9
NodeId:77	0.6448013284756319,0.6466076421764543,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:78	1.6779559001452888,1.686675266255421,13,19,34,82
NodeId:79	1.0085145926209056,1.014794809735247,0,26,43,74,90
NodeId:8	0.35021774141887885,0.35185549359128465,13,41,59,87
NodeId:80	1.2152825431062486,1.218794159901694,31,79
NodeId:81	0.5996437416385377,0.6022215929821187,5,21,26,78,93,96
NodeId:82	0.6942838983621124,0.696158659158059,2,23,24,32,52,53
NodeId:83	1.3060039726502364,1.3104295456467159,1,4,10,18,27,29,70
NodeId:84	1.089047897133065,1.0934457223722411,9,21
NodeId:85	0.7105116572231095,0.714773889224631,32,54,57,64,69,90,99
NodeId:86	1.367705505639862,1.3743581695985707,11,60,71,95
NodeId:87	0.49473539495474117,0.4964030332304944,8,19,20,27,30,47,54,63
NodeId:88	1.303178676923387,1.3119910890553084,21,26,44,50,55,82
NodeId:89	0.5918172498722823,0.5935399013253978,16,32,35,38,40,57,58
NodeId:9	1.714744958567846,1.7229986724276176,33,39,41,43,51,69,80
NodeId:90	0.9414042808146125,0.9455090555460101,1,26,52,93,96
NodeId:91	0.7644499313799745,0.7692718146849399,12,24,66,81,95
NodeId:92	1.6570253362200051,1.6671438869539723,22,34,39,57
NodeId:93	0.981834731271738,0.9876044094699258,15,43,66,75
NodeId:94	1.08395952190219,1.0896685489887479,4,17,20,90
NodeId:95	1.4272459755285718,1.4323217468986131,76,88
NodeId:96	0.8317106987250208,0.8335005658388227,12,13,24,31,60,74
NodeId:97	1.0998265757178132,1.1063224856898484,37,50,62,89
NodeId:98	1.1523463041203281,1.1556737690170658,5,13,15,28,49,66,92,94
NodeId:99	1.2100748565752624,1.2180853367871065,1,83
NodeId:i	6
