i	46
NodeId:0	0.739859848919,0.739863249073,1,15,66,96
NodeId:1	1.22697595913,1.22698217164,37,72
NodeId:10	0.890466703,0.890471010285,4,6,38,67,78,80
NodeId:11	0.648544183302,0.648547203649,6,28,40,49,51,67,89
NodeId:12	0.996509844765,0.996514358537,24,28,50,55,67,85,98
NodeId:13	0.90658306518,0.906587272513,25,32,33,35,76
NodeId:14	0.32996913361,0.32997003345,36,39,44,62,98
NodeId:15	1.21044585211,1.21045199994,47,70,79,95,97
NodeId:16	0.624052777754,0.624055587841,45,52,67,80
NodeId:17	0.552053672308,0.55205589863,18,39,41,53,63,72,79,99
NodeId:18	1.04038306687,1.04038791662,52,61,62,87
NodeId:19	0.88240870374,0.882412942629,27,33,37,45,92
NodeId:2	1.0143824965,1.01438739392,31,63
NodeId:20	1.14915025788,1.14915597735,7,94
NodeId:21	2.21852631571,2.21853339772
NodeId:22	1.04527522012,1.04528039156,25,65,72,83,97
NodeId:23	0.569849598565,0.569852017831,92,99
NodeId:24	1.01834933321,1.0183539848,9,10,18,38,55,93,94
NodeId:25	0.813060091762,0.81306383288,63
NodeId:26	0.834134823775,0.83413874932,15,23,28,64
NodeId:27	1.33124461587,1.33125131276,32,68,70,92
NodeId:28	0.877176442448,0.877180551997,21,25,72
NodeId:29	0.863584321616,0.863588586239,18,23,31,36,86
NodeId:3	0.742661664074,0.742665229619,30,42,45,86
NodeId:30	0.868681204507,0.86868519429,80,84,95
NodeId:31	2.1357789049,2.13579041892,29,36,46,49,54,62,70,85
NodeId:32	0.977007698152,0.977012339375,2,3,6,27,47,69,71,91
NodeId:33	0.99522531262,0.995230285852,2,56,58,86
NodeId:34	0.967108230015,0.967113134347,0,7,77,78
NodeId:35	0.496879286379,0.496881016733,12,18,62,64,65,66,83,91
NodeId:36	0.769163078993,0.769166536213,12,20,30,34,61,75,77,99
NodeId:37	1.31399183425,1.31399860124,40,59,71,97
NodeId:38	1.16135790498,1.16136354558,30,41,98
NodeId:39	1.15192844039,1.15193421449,31,43,68,71,92
NodeId:4	0.74134449495,0.741348008166,24,42,46,86
NodeId:40	0.727705851024,0.727709196571,7,71,72,73
NodeId:41	0.946189708555,0.946194072501,44,45,49,66
NodeId:42	0.572394635753,0.572397017127,36,45,70,89,99
NodeId:43	0.918560319948,0.918564937822,4,21,24,56,67,68,80,86,90
NodeId:44	0.627791425743,0.627794061081,17,37,38
NodeId:45	1.44044758609,1.44045497565,18,53,58,83,86,90
NodeId:46	0.81737014865,0.817374077768,78
NodeId:47	0.511174895642,0.511176950615,5,14,52,70,73
NodeId:48	0.15,0.15,18,39,61,79,89
NodeId:49	1.14222240916,1.14222832716,2,29,31,39,84
NodeId:5	0.480602888527,0.480604579513,2,9,24,50,61,81,98
NodeId:50	0.827592062847,0.827595963205,0,20,46,68
NodeId:51	0.924720310024,0.924724862738,38,45,61,71
NodeId:52	0.842183161455,0.842186999568,27,31,64,91
NodeId:53	0.601574500792,0.601577072511,2,13,65,78,95
NodeId:54	0.681407587701,0.681410468904,12,69,77
NodeId:55	0.681122473126,0.681125522306,10,19,22,25,51,58,62
NodeId:56	0.541308842987,0.541311110138,29,36,80,96,98
NodeId:57	0.816738453578,0.816742387557,86,94,96,98
NodeId:58	0.865503553492,0.865507621224,16,38,71,73,78
NodeId:59	0.502485954103,0.502487931928,10,24,69,92
NodeId:6	0.69158346298,0.691586482346,15,22,58,80
NodeId:60	0.547462639622,0.547465011796,14,49,53,56,65
NodeId:61	0.733169537599,0.73317261116,6,9,18,20,99
NodeId:62	1.01684129675,1.01684627517,11,22,33,91
NodeId:63	1.72361897859,1.72362788301,3,64,65,72
NodeId:64	1.0095036084,1.00950852368,3,27,28,31,33,39,78
NodeId:65	0.988291847743,0.988296595537,27,88
NodeId:66	1.01058809666,1.01059283041,8,19,72,81,83,98
NodeId:67	0.695272702853,0.695275761644,2,26,30,31,32,45
NodeId:68	0.891337217844,0.891341605339,1,6,19,28,40,81,85
NodeId:69	0.881516878205,0.881520893022,12,22,42,46,55,72,88
NodeId:7	0.998541035694,0.998546038014,12,21,38,57,93
NodeId:70	1.20406544206,1.20407168613,20,63,99
NodeId:71	1.50960396333,1.5096120348,15,16,45,84,97
NodeId:72	1.92747378825,1.92748416817,10,49,51,92,93,95
NodeId:73	0.538674581484,0.538676675955,41,50,51,84,92
NodeId:74	0.432270241686,0.432271813488,35,54,84
